altimeter_type,cycle_number,year_fraction,num_observations,weighted_observations,GMSL_no_GIA,stddev_no_GIA,smoothed_no_GIA,GMSL_GIA,stddev_GIA,smoothed_GIA,smoothed_GIA_detrended,smoothed_no_GIA_detrended
0.0,11.0,1993.011526,466881.0,338409.69,-37.91,89.01,-37.67,-37.9,89.01,-37.66,-37.64,-37.66
0.0,12.0,1993.038692,459563.0,333609.59,-40.95,89.95,-39.07,-40.94,89.95,-39.06,-38.53,-38.55
0.0,13.0,1993.065858,402996.0,292736.5,-41.09,86.9,-39.11,-41.07,86.9,-39.09,-38.16,-38.19
0.0,14.0,1993.093025,462894.0,336670.31,-43.38,88.73,-39.4,-43.36,88.73,-39.38,-38.12,-38.16
0.0,15.0,1993.120191,460498.0,332486.09,-38.66,89.87,-38.51,-38.63,89.87,-38.48,-36.96,-37.0
0.0,16.0,1993.147357,415229.0,300489.59,-35.75,89.54,-37.37,-35.71,89.54,-37.33,-35.57,-35.61
0.0,17.0,1993.174523,470588.0,340262.31,-34.13,87.56,-36.41,-34.09,87.56,-36.37,-34.36,-34.41
0.0,18.0,1993.201689,469308.0,339210.91,-34.79,88.49,-35.87,-34.74,88.48,-35.82,-33.54,-33.59
0.0,19.0,1993.228855,464654.0,335581.31,-35.91,87.78,-35.75,-35.85,87.78,-35.69,-33.1,-33.16
999.0,20.0,1993.256021,450755.0,327812.59,-38.21,95.18,-35.85,-38.15,95.17,-35.79,-32.85,-32.91
0.0,21.0,1993.283188,467062.0,337673.91,-38.16,87.2,-36.01,-38.09,87.2,-35.94,-32.63,-32.69
0.0,22.0,1993.310354,472295.0,341114.91,-33.8,86.35,-36.21,-33.72,86.34,-36.13,-32.45,-32.53
0.0,23.0,1993.33752,469212.0,340206.81,-35.02,85.72,-36.49,-34.93,85.71,-36.4,-32.4,-32.48
0.0,24.0,1993.364686,471421.0,340656.59,-37.97,85.9,-36.57,-37.88,85.9,-36.48,-32.25,-32.33
0.0,25.0,1993.391852,472424.0,340986.5,-38.8,84.84,-36.74,-38.71,84.84,-36.64,-32.31,-32.4
0.0,26.0,1993.419018,472277.0,341267.19,-38.31,84.77,-36.06,-38.21,84.77,-35.96,-31.7,-31.8
0.0,27.0,1993.446185,469214.0,339717.31,-35.89,85.0,-35.45,-35.78,85.0,-35.35,-31.37,-31.47
0.0,28.0,1993.473351,433670.0,315057.31,-32.3,83.26,-34.48,-32.19,83.25,-34.37,-30.89,-31.0
0.0,29.0,1993.500517,465358.0,340186.5,-32.44,82.44,-33.63,-32.32,82.43,-33.51,-30.74,-30.86
0.0,30.0,1993.527683,461887.0,337891.81,-32.35,84.15,-32.99,-32.22,84.16,-32.86,-31.0,-31.12
999.0,31.0,1993.554849,248043.0,185244.8,-34.62,89.16,-32.4,-34.49,89.17,-32.26,-31.45,-31.58
0.0,32.0,1993.582015,458887.0,337013.91,-34.19,86.63,-31.61,-34.04,86.64,-31.47,-31.8,-31.93
0.0,33.0,1993.609181,427662.0,313966.81,-32.4,87.66,-30.6,-32.26,87.66,-30.45,-31.95,-32.09
0.0,34.0,1993.636348,455037.0,335887.81,-28.58,88.26,-29.56,-28.43,88.27,-29.41,-32.03,-32.17
0.0,35.0,1993.663514,453806.0,335852.41,-26.1,87.31,-28.65,-25.94,87.32,-28.49,-32.12,-32.27
0.0,36.0,1993.69068,454905.0,336206.69,-27.21,85.89,-27.99,-27.04,85.91,-27.83,-32.28,-32.43
0.0,37.0,1993.717846,411039.0,304372.19,-29.89,86.01,-27.63,-29.72,86.03,-27.45,-32.5,-32.67
0.0,38.0,1993.745012,455210.0,336768.31,-27.09,86.41,-27.17,-26.91,86.42,-26.99,-32.38,-32.55
0.0,39.0,1993.772178,453675.0,335532.59,-24.43,86.45,-26.96,-24.24,86.47,-26.77,-32.23,-32.41
